pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_location_id
2019-01-03 00:24:56.000000 UTC,2019-01-03 00:36:08.000000 UTC,3,2.19,82
2019-01-03 00:25:35.000000 UTC,2019-01-03 01:17:23.000000 UTC,1,15.09,160
2019-01-03 00:25:35.000000 UTC,2019-01-03 00:30:18.000000 UTC,1,0.8,75
2019-01-03 00:25:53.000000 UTC,2019-01-03 00:36:17.000000 UTC,1,2.43,244
2019-01-03 00:25:59.000000 UTC,2019-01-03 00:30:01.000000 UTC,1,0.78,129
2019-01-03 00:26:13.000000 UTC,2019-01-03 00:30:33.000000 UTC,5,0.65,146
2019-01-03 00:27:00.000000 UTC,2019-01-03 00:36:39.000000 UTC,1,2.84,130
2019-01-03 00:27:05.000000 UTC,2019-01-03 00:35:25.000000 UTC,1,2.67,74
2019-01-03 00:27:12.000000 UTC,2019-01-03 00:33:45.000000 UTC,1,1.66,223
2019-01-03 00:27:39.000000 UTC,2019-01-03 00:37:11.000000 UTC,1,1.84,181
2019-01-03 00:28:21.000000 UTC,2019-01-03 00:35:15.000000 UTC,1,1.9,166
2019-01-03 00:28:44.000000 UTC,2019-01-03 00:34:35.000000 UTC,1,1.84,130
2019-01-03 00:28:57.000000 UTC,2019-01-03 00:33:09.000000 UTC,2,0.6,129
2019-01-03 00:29:02.000000 UTC,2019-01-03 00:37:17.000000 UTC,1,1.48,41
2019-01-03 00:29:16.000000 UTC,2019-01-03 00:41:07.000000 UTC,1,2.43,112
2019-01-03 00:29:27.000000 UTC,2019-01-03 00:30:08.000000 UTC,1,0.1,165
2019-01-03 00:30:06.000000 UTC,2019-01-03 00:46:21.000000 UTC,5,7.61,223
2019-01-03 00:30:13.000000 UTC,2019-01-03 00:35:58.000000 UTC,2,1.31,95
2019-01-03 00:30:16.000000 UTC,2019-01-03 00:41:50.000000 UTC,1,2.2,82
2019-01-03 00:30:21.000000 UTC,2019-01-03 00:40:15.000000 UTC,1,2.23,97
2019-01-03 00:30:25.000000 UTC,2019-01-03 00:49:43.000000 UTC,2,4.79,7
